City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
333,Port Blair,IN,11.6667,92.75,81.41,83,100,19.6,light rain
334,Beyneu,KZ,45.3167,55.2,84.79,36,84,6.8,broken clouds
335,Bam,IR,29.106,58.357,90.72,13,5,4.7,clear sky
336,Mount Isa,AU,-20.7333,139.5,60.57,41,24,6.91,few clouds
337,Lasa,IT,46.6166,10.7002,67.08,78,24,2.68,few clouds
338,Gogrial,SS,8.5332,28.1004,75.45,73,79,4.54,broken clouds
339,Kayes,ML,14.0,-11.0,79.88,73,75,10.8,broken clouds
340,Souillac,MU,-20.5167,57.5167,68.38,83,40,3.44,scattered clouds
341,Saint George,US,37.1041,-113.5841,102.67,25,1,8.99,clear sky
342,Sao Filipe,CV,14.8961,-24.4956,73.62,76,26,9.13,scattered clouds
